Name,Coordinates
Ḫalab,"36.199335,37.156825"
Ārjunāyanas,"27.5,77.5"
Ábydos,"40.1951155,26.409131"
"Ágylla, Agylla, Agulla","42.005431,12.098479"
"Áktion, Aktion","38.953891,20.765852"
"Ílios, Ilios","39.9573615,26.2380111"
"Áphidna, Aphídnai","38.2055285,23.8361515"
Ípsos,"38.856193,30.549206"
Árgissa,"39.654629,22.350561"
"Áthmonon, Athmonon","38.055127,23.8115515"
Ṣaida,"33.560328,35.37324"
Ṣamṣūn,"41.292721,36.3313"
Ṭarāblus,"34.449,35.812"
Ṭbilisi,"41.717722,44.78057"
Ṭbilisi,"41.717722,44.78057"
Ṭel Aviv-Yȧfo,"32.5,32.5"
Ṭp̣łis,"41.717722,44.78057"
Ṭp̣łis,"41.717722,44.78057"
Aškǝlon,"31.6659785,34.545947"
Aïlas,"29.6636335,34.9744445"
Abū Ṣalābiḫ,"33.5,45.5"
Abṓnou teîchos,"41.9740255,33.7660475"
Abacaenum,"38.0519099,15.1015798"
Abai,"38.5831615,22.929852"
Abakainon,"38.056258,15.102037"
Abale,"17.682319,33.975361"
Abali,"22.5,82.5"
"Aballava, Aballaua","54.9223965,-3.049398"
Aballo,"47.492513,3.907961"
Abannae,"35.5,4.5"
Abantes,"38.75,23.75"
Abarara,"36.807851,37.416023"
Abarne,"38.137222,39.451111"
Abarnias,"40.378253,26.734359"
Abarnis,"40.378253,26.734359"
Abarnos,"40.378253,26.734359"
Abarshahr,"36.5,57.5"
Abasenoi,"12.5,42.5"
Abasgia,"43.5,40.5"
Abaskos,"43.5,40.5"
Abastanoi,"27.5,72.5"
Abaton,"24.041393,32.897895"
Abbi,"36.16242,9.57173"
Abbi…,"36.16242,9.57173"
Abbir Cella,"36.466607,9.844189"
Abbir Cellae,"36.466607,9.844189"
Abbir Maius,"36.374,10.008826"
Abboukome,"39.25,30.75"
Abdara,"36.748068,-3.022514"
Abdera,"36.748068,-3.022514"
Abdera,"40.93950935,24.9772841"
Abella,"40.965054,14.6003925"
Abellinon,"40.915454,14.8080055"
Abellinum,"40.915454,14.8080055"
Abelterium,"39.19969,-7.658632"
Aberia,"27.5,67.5"
Aberta,"33.238967,44.881158"
Abesa,"37.99906725,14.26197085"
Abia,"36.9659394,22.1425378"
Abies,"24.649668,67.920001"
Abigas,"35.5,7.5"
Abii,"40.4458524684,65.1805169846"
Abike,"46.5,32.5"
Abila,"31.858619,35.635409"
Abila,"33.627108,36.1159485"
Abila Dekapoleos,"32.8228945,35.80101"
Abila Lysaniou,"33.627108,36.1159485"
Abila M.,"35.9,-5.283333"
Abilene,"33.75,35.75"
Abilyx,"35.9,-5.283333"
Abiolica,"46.902071,6.359114"
Abiria,"22.5,72.5"
Abisama,"13.538636,46.509908"
Abisareis,"32.5,72.5"
Abissagi,"17.0397822,54.4337802"
Abitina,"36.627874,9.549085"
Abitinae,"36.627874,9.549085"
Abivard,"37.519088,59.670091"
Abla,"37.141162,-2.78011"
Ablastha,"38.201601,37.190334"
Abnoba Ore,"48.5,8.5"
Abnobaia Ore,"48.5,8.5"
Abodiacum,"47.909892,10.909748"
Abolla,"36.909856,15.134319"
Abollas,"36.75,15.25"
Abona,"38.601187,-9.050379"
Abone,"51.492106,-2.655028"
Aborras,"37.0,40.0"
Aborras,"37.0,40.0"
Abortae,"27.5,67.5"
Abos,"53.5,-0.5"
Abouadeineita,"39.528949,30.542331"
Aboula,"37.141162,-2.78011"
Abour,"10.99906,79.641886"
Abra,"37.765419,-3.959262"
Abrótonon,"32.8051901,12.48716945"
Abraouannos,"54.5,-4.5"
Abrettene,"39.75,28.75"
Abrincas,"48.685014,-1.3568675"
Abrincatui,"48.685014,-1.3568675"
Abritai,"27.5,67.5"
Abritus,"43.524975,26.523115"
Abrotonum,"32.8053014,12.48430055"
Absarus,"41.5,41.5"
Abthugni,"36.1865135,10.031037"
Abthungi,"36.1865135,10.031037"
Abulobrica,"41.501445,-4.999241"
Abusina,"48.85030595,11.77105085"
Abydos,"26.185099,31.917622"
Abydos,"40.1951155,26.409131"
Abyssa,"17.0397822,54.4337802"
Abzoae,"46.5,48.5"
Acabis,"32.724784,22.022689"
Acachia,"39.542222,42.771666"
Acadama,"35.0663825,38.422159"
Acarnania,"38.6917214544,21.0497979053"
Acatucci,"37.591727,-3.1811"
Acaunum,"46.218462,7.0039815"
Acci,"37.300309,-3.134636"
Acelum,"45.79655645,11.9134537"
Acerdos,"40.5207332,22.3874696"
Acerina,"41.396699,15.958032"
Aceronia,"40.561913,15.425661"
Acerrae,"40.946092,14.371233"
Acerrae,"45.190014,9.790962"
Acerronia,"40.561913,15.425661"
Aceruntia,"40.793108,15.937511"
Acervo,"45.956269,14.75833"
Acesta,"37.940316,12.8361805"
Achaia,"44.5,39.5"
Achaiion,"39.813107,26.164143"
Achaioi,"44.5,39.5"
Achaion Akte,"35.25,33.75"
Achaion Limen,"38.858153,27.039491"
Acharaka,"37.882833,28.097518"
Achardeos,"47.5,40.5"
Acharna,"35.236772,25.163164"
Acharnaí,"38.0835435,23.734466"
Acharnai,"38.125,23.625"
Acharnai N,"38.0835435,23.734466"
Acharnai S,"38.125,23.625"
Acharrae,"39.08032,22.21147"
Achates,"37.25,14.25"
Acheloos,"39.75,26.25"
Acheron,"41.5,31.5"
Acherousias Pr.,"41.5,31.5"
Acheruntia,"40.793108,15.937511"
Acherusia L.,"39.25,20.75"
Achilleion,"39.914982,26.1511315"
Achilleion,"39.914982,26.1511315"
Achilleios Dromos,"46.5,31.5"
Acholla,"35.103997,11.0261615"
Achoma,"13.817324,43.841134"
Achomai,"12.5,42.5"
Achomeni,"12.5,42.5"
Achrianos,"37.5,56.5"
Achroua,"27.897794,37.329689"
Acidava,"44.165519,27.541283"
Acidava,"44.378096,24.264647"
Acidava,"46.020781,23.794334"
Acina,"19.93213,30.287072"
Acinippo,"36.83189715,-5.2389573"
Acis,"37.75,15.25"
Acitavones,"45.75,6.75"
Acitodunum,"46.085792,2.044668"
Acium,"37.576332,15.17222"
Acmonia,"45.5248339284,22.4078321517"
Acrae,"37.0579141,14.8945119"
Acriae,"36.794176,22.785366"
Acrillae,"37.032523,14.702208"
Actaei,"17.5,47.5"
Actanicopoli,"39.0157,20.7360035"
Acthei,"17.5,47.5"
Actium,"38.953115,20.768402"
Actium Pr.,"38.923568,20.749775"
Acumincum,"45.13739,20.260639"
Acunum,"44.558333,4.750905"
Acunum,"45.1450548,20.2534441"
Acutri,"32.5,72.5"
Acylla,"35.0794461,11.020268"
Ad Acroceraunia,"40.280708,19.449999"
Ad Aenus,"47.856079,12.124016"
Ad Aesim,"43.25,12.75"
Ad Aesim,"43.629616,13.396908"
Ad Amadum,"32.011033,10.702979"
Ad Ammonem,"32.840652,12.267097"
Ad Ammontem,"33.371925,35.984491"
Ad Ansam,"51.88983,0.901227"
Ad Aquas,"36.525792,8.336988"
Ad Aquas,"36.75,10.25"
Ad Aquas,"42.770761,13.411003"
Ad Aquas,"44.222408,22.501863"
Ad Aquas Caesaris,"35.45026,7.949211"
Ad Aquas Herculis,"35.111971,5.60972"
Ad Aquas Salvias,"41.834714,12.483671"
Ad Aras,"37.5,-4.5"
