Name,Coordinates
Aqua Appia,"41.8909261,12.5145971"
Aqua Appia Augusta,"41.8909261,12.5145971"
Aqua Claudia,"41.8910054,12.5139657"
Aqua Iulia,"41.875,12.625"
Aqua Marcia,"41.8709452,12.5393485"
Aqua Tepula,"41.875,12.625"
Aqua Traiana,"41.875,12.375"
Aqua Virgo,"41.875,12.625"
Aqua Viva,"42.272502,12.446371"
Aqua Viva,"46.343945,16.233016"
Aquabona,"38.601187,-9.050379"
Aquae,"36.4466635,9.369697"
Aquae,"42.5,22.5"
Aquae,"45.752149,23.0056265"
Aquae,"48.006138,16.2323655"
Aquae,"48.5,16.5"
Aquae,"48.759799,8.239789"
Aquae (...),"37.33165,37.544064"
Aquae Albulae,"41.875,12.625"
Aquae Apollinares,"42.115472,12.0407815"
Aquae Apollinares Novae,"42.1647145,12.2041985"
Aquae Aptuccensium,"36.023338,8.911734"
Aquae Arnemetiae,"53.260551,-1.909625"
Aquae Balissae,"45.593653,17.224015"
Aquae Bilbitanorum,"41.296294,-1.894044"
Aquae Bormiae,"46.467537,10.378107"
Aquae Bormonis,"46.622409,3.767939"
Aquae Caeretanae,"42.052959,12.03903"
Aquae Calidae,"36.379474,2.395618"
Aquae Calidae,"37.5069435,34.8171355"
Aquae Calidae,"41.63447,2.1615643"
Aquae Calidae,"41.634509,2.161563"
Aquae Calidae,"42.5,27.5"
Aquae Calidae,"42.632649,-8.563431"
Aquae Calidae Neapolitanorum,"39.5,8.5"
Aquae Carpitanae,"36.808697,10.5774835"
Aquae Celenae,"42.605502,-8.643331"
Aquae Convenarum,"43.102951,0.312695"
Aquae Cutiliae,"42.37894,13.011917"
Aquae Dacicae,"34.14657,-5.800742"
Aquae Flaviae,"41.74035,-7.4700075"
Aquae Flavianae,"35.441461,7.084608"
Aquae Frigidae,"37.437772,40.640089"
Aquae Ger(...),"38.81864,30.439775"
Aquae Granni,"48.3853235,5.487954"
Aquae Granni,"50.7759975,6.083743"
Aquae Helveticae,"47.473503,8.30761"
Aquae Herculis,"35.031274,5.780974"
Aquae Iasae,"46.209916,16.422111"
Aquae Labodes,"37.504887,13.091992"
Aquae Larodes,"37.504887,13.091992"
Aquae Mattiacorum,"50.084206,8.238584"
Aquae Neri,"46.288827,2.6599385"
Aquae Onesiorum,"42.791204,0.591189"
Aquae Originae,"41.884363,-8.10843"
Aquae Pacatianae,"37.972503,12.891676"
Aquae Passeris,"42.414853,12.065647"
Aquae Persianae,"36.731005,10.327692"
Aquae Phimianae,"37.972503,12.891676"
Aquae Pincianae,"37.972503,12.891676"
Aquae Quarquernae,"41.97441,-7.980542"
Aquae Quintiae,"42.889746,-7.699939"
Aquae Quintinae,"42.889746,-7.699939"
Aquae Regiae,"35.58292,9.718677"
Aquae S(...),"43.8276983,18.3040453"
Aquae Saravenae,"39.146182,34.160473"
Aquae Segestanae,"37.972503,12.891676"
Aquae Segetae,"45.591982,4.071226"
Aquae Segetae,"48.11546425,2.6222216"
Aquae Sextiae,"45.6890716,5.9154787"
Aquae Siccae,"43.216163,1.085752"
Aquae Sinuessanae,"41.139709,13.85836"
Aquae Sirenses,"35.31646,-0.049719"
Aquae Statiellae,"44.675532,8.470658"
Aquae Sulis,"51.381041,-2.359704"
Aquae Tacapitanae,"33.883611,9.794514"
Aquae Tauri,"42.109853,11.835716"
Aquae Terebellicae,"43.709216,-1.0525105"
Aquae Thibilitanae,"36.459865,7.270135"
Aquae Traianae,"36.654423,9.147729"
Aquae Vescinae,"41.314412,13.891156"
Aquae Voconiae,"41.846176,2.752102"
Aquas Apollinaris,"42.115472,12.0407815"
Aquila Maior Pr.,"35.75,-5.25"
Aquila Minor Pr.,"35.75,-5.25"
Aquilaria,"37.051811,11.011535"
Aquileia,"45.769631,13.370946"
Aquileia,"45.769631,13.370946"
Aquileia,"48.678383,10.151322"
Aquilonia,"41.0205885,15.4503075"
Aquilonis Mutatio,"41.186419,15.134864"
Aquincum,"47.564075,19.049522"
Aquincum Castra,"47.558849,19.048286"
Aquinum,"41.492208,13.705626"
Aquitani,"43.5,-0.5"
Aquitania,"45.5,0.5"
Aquitanicus Sinus,"46.5,-2.5"
Ara Ubiorum,"50.940662,6.9599065"
ar-Ṛuhā,"37.1625575,38.781432"
Araba,"16.570227,33.190286"
Araban,"36.244537,40.707477"
Arabena,"37.427054,37.692332"
Arabia,"27.25,31.75"
Arabia,"27.5,42.5"
Arabia,"29.5,45.5"
Arabia,"37.5,39.5"
Arabia Eudaemon,"29.25,35.25"
"Arabia Eudaimōn, Arabia Eudaimon","12.771651,45.038928"
Arabia Felix,"29.25,35.25"
Arabia Nomos,"30.75,31.75"
Arabia Petraia,"29.75,34.75"
Arabias euporion,"29.25,35.25"
Arabiates,"47.5,16.5"
Arabikon Oros,"28.75,31.25"
Arabis,"27.5,67.5"
Arabissos,"38.246013,36.911673"
Arabitai,"27.5,67.5"
Arabrigenses,"41.5,-7.5"
Aracaeli,"42.919813,-1.961419"
Aracelium,"43.176488,-3.973369"
Araceni,"29.5,36.5"
Aracha,"34.671287,38.582516"
Arachosia,"32.5,62.5"
Arachosia,"32.5,67.5"
Arachosia,"33.498616,68.388483"
Arachosii,"32.5,67.5"
Arachosiorum Oppidum,"33.498616,68.388483"
Arachotoi,"32.5,67.5"
Arachotos,"32.5,62.5"
Arachotos,"33.498616,68.388483"
Arachotos Krene,"32.5,67.5"
Aracillum,"43.176488,-3.973369"
Araden,"35.22746,24.060291"
Aradi,"36.309996,9.609691"
Arados,"34.858397,35.859448"
Arae Flaviae,"48.166687,8.627925"
Arae Philaenorum,"30.279406,18.805925"
Arae Philaenorum,"30.293895,18.788188"
Arae Philaenorum,"30.361848,18.784609"
Araegenue,"49.10686765,-0.43271675"
Aragokome,"39.071967,30.169512"
Aragos,"42.5,44.5"
Arainon,"36.69704,22.521276"
Aralla,"38.434969,32.151896"
Aramaua,"29.573154,35.430265"
Aramo,"43.896129,4.681572"
Aramum,"22.791046,32.579727"
Aranda,"39.155572,37.790778"
Arandara,"29.249388,32.904576"
Arandis,"37.64394,-8.1054195"
Arandunum,"43.785798,4.193302"
Arane,"39.155572,37.790778"
Arangae,"39.155572,37.790778"
Aranni,"37.64394,-8.1054195"
Araphḗn,"38.019987,24.00167"
Araraukeles,"32.5,21.5"
Ararene,"17.5,42.5"
Aras,"35.818752,4.292015"
Arasaxa,"38.6239795,35.87671"
Arataei,"27.5,37.5"
Arate,"26.953896,81.857671"
Arathia,"38.6239795,35.87671"
Aratikos,"41.511128,-1.50248"
Aratis,"41.511128,-1.50248"
Aratispi,"36.912539,-4.465945"
Arauakoi,"41.5,-3.5"
Araukome,"39.154577,30.040127"
Araunia,"40.0337215,31.782408"
Araura,"43.394529,3.420272"
Arauraka,"40.10699,39.094444"
Arauraka,"40.129279,39.141987"
Arausa,"43.804229,15.79233"
Araxa,"36.752042,29.3836255"
Araxenon Pedion,"39.5,43.5"
Araxes,"38.5,46.5"
Araxes,"42.5,62.5"
Arba,"44.754525,14.761834"
"Arbēla, Arbela","32.75,35.25"
"Arbēla, Arbela, Arabella","32.556411,35.848706"
Arban,"36.244537,40.707477"
Arbatilicum,"46.5,-1.5"
Arbayestan,"36.5,41.5"
Arbeia,"55.0044785,-1.430919"
Arbeila,"40.76137,29.885226"
Arbela,"32.556411,35.848706"
Arbela,"32.807057,35.504873"
Arbelitis,"33.5,44.5"
Arbies,"27.5,67.5"
Arbion M.,"35.25,25.25"
Arbis,"27.5,67.5"
Arbita M.,"27.5,67.5"
Arbitani M.,"27.5,67.5"
Arbius,"27.5,67.5"
Arbius,"27.5,67.5"
Arbor Felix,"47.515071,9.436868"
Arboukale,"41.525944,-5.394988"
Arca,"34.533092,36.0428025"
Arca,"38.33454,37.9711315"
Arcamo,"37.262483,40.639528"
"archaîos neṓs, arkhaios neos","37.97210115,23.7264544"
Archabis Pr.,"41.5,41.5"
Archaion Aphrodision,"35.25,25.75"
Archaiopolis,"42.389792,42.237387"
Archalla,"38.83458,35.295289"
Archandropolis,"31.25,30.25"
"Archegetes, T.","38.499295,22.741267"
Archeion,"41.0482435,29.027404"
Archelais,"31.9694095,35.4729815"
Archelais,"38.83458,35.295289"
Archene,"38.5,41.5"
Arciade,"38.28633,15.812382"
Arcidava,"45.404956,21.3841505"
Arcobriga,"41.29589375,-2.1381339"
Arda,"39.312094,40.349658"
Ardabda,"45.04609,35.378768"
Ardabda Heptatheos,"45.04609,35.378768"
Ardabil,"38.24647,48.295051"
Ardalius,"35.75,8.25"
Ardaneae,"41.3107496,15.6237042"
Ardanis Akron,"31.909249,25.026833"
Ardashir-Khurra,"28.8462185,52.55372"
Ardea,"41.609389,12.547028"
"Ardea, Ardéa","41.609389,12.547028"
Ardiaei,"43.5,17.5"
Ardistama,"37.93711,33.883467"
Ardotalia,"53.452244,-1.9877645"
Arduenna Silva,"50.5,5.5"
Are,"17.5,47.5"
Area,"39.235808,32.855993"
Arebrigium,"45.764042,6.984632"
Aregenoua,"49.10686765,-0.43271675"
Areia,"34.5,61.5"
"Areios Pagos, Areos Pagos","37.97239745,23.7232973"
Arelape,"48.212163,15.2104235"
Aremorica,"48.3144537407,-2.01903544349"
Aremtha,"33.471389,35.578273"
Arenatio,"51.812301,6.125456"
Arentia,"40.650874,-3.196797"
Areopolis,"31.272021,35.736"
"Ares, Aphrodite, T.","35.25,25.75"
Arest,"38.925344,43.655172"
Arethousa,"32.1106385,34.9323825"
Arethousa,"34.960169,36.735111"
Arethousa,"40.62204,23.621241"
Arethusa,"34.960169,36.735111"
Arethusae Fons,"37.057294,15.292958"
Aretias,"40.5,38.5"
Aretissa L.,"38.5,43.5"
Areva,"41.5,-2.5"
Arevaci,"41.5,-3.5"
Argaios M.,"38.25,34.25"
Argalou,"12.5,77.5"
Argamum,"44.758137,28.940017"
Argaous,"38.77556,38.268775"
Argarikos Kolpos,"12.5,77.5"
Argarou,"12.5,77.5"
Argea,"37.75,22.75"
Argeia,"38.75,21.25"
Argeiopolis M.,"38.25,34.25"
Argennon Akron,"37.75,15.25"
Argennon Pr.,"38.25,26.25"
Argenta,"45.092526,1.938318"
Argentariae Dalmaticae et Pannonicae,"44.5,18.5"
Argentea,"45.53071,9.405692"
Argenteus,"43.25,6.25"
Argentiolum,"42.312849,-5.972986"
Argentomagus,"46.599368,1.515499"
Argentorate,"48.582416,7.747407"
Argentovaria,"48.0512685,7.545778"
Argenuus,"25.6558,66.455092"
Argestaeus Campus,"40.5,21.5"
Argestaioi,"41.5,21.5"
Argilos,"40.7819725,23.8123785"
Arginousa,"39.25,30.25"
Argithea,"39.347597,21.532157"
Argiza,"39.843503,27.409336"
Argolis,"37.75,22.75"
Argoos Limen,"42.8168005,10.3280985"
Argos,"34.75,26.75"
Argos,"36.579408,27.13944"
Argos,"41.581351,21.885071"
Argos Hippium,"41.5534853,15.6112812"
Argos M.,"38.25,34.25"
Argos Orestikon,"40.4737397349,21.2441603967"
Argoura,"38.404307,23.663159"
Argoura,"39.654629,22.350561"
Argustana,"38.566309,34.032157"
Argyra,"38.404307,23.663159"
Argyra Chora,"22.5,92.5"
Argyria,"39.750179,27.222332"
Argyria,"41.005623,38.869903"
Argyripa,"41.5534853,15.6112812"
Argyronion,"41.165174,29.076268"
Argyropolis,"41.026411,28.980152"
Argyros,"40.2576765,20.697761"
Argyruntum,"44.295052,15.440271"
Aria,"34.5,61.5"
Aria,"34.992568,25.450283"
Ariake,"22.5,72.5"
Ariake Sadenon,"17.5,72.5"
Ariandos,"38.890068,28.768545"
Ariani,"34.663757,71.161012"
Arianodum,"38.019355,37.668234"
Arianzos,"38.2607085,34.387768"
Ariaramneia,"37.907124,35.4783905"
"Ariaratheia, Ariarátheia","38.723507,36.392334"
Ariaspai,"32.5,62.5"
Ariassos,"37.1674385,30.475988"
Aribacha,"37.847248,42.186436"
Arica,"46.5,-1.5"
Aricia,"41.72139965,12.67334715"
Aricini,"41.72139965,12.67334715"
Ariconium,"51.908879,-2.5286065"
Arieldela,"30.083736,35.2198045"
Arigaion,"34.663757,71.161012"
Arii,"34.5,61.5"
Arikia,"41.72139965,12.67334715"
Arilica,"45.439424,10.692043"
Arilla,"38.627775,28.086448"
Arima,"36.441276,34.114347"
Arimantos Kome,"32.586613,22.504054"
Arimaspai,"32.5,62.5"
Arimathaia,"32.040597,35.021578"
Ariminum,"44.0589565,12.5631945"
Arindela,"30.729289,35.650694"
Ariolica,"45.439424,10.692043"
Ariolica,"45.626297,6.506034"
Arion,"41.5,41.5"
Ariorica,"46.902071,6.359114"
Ariousia,"38.75,25.75"
Arisba,"39.244154,26.243273"
Ariseria,"36.874199,37.586975"
Aristaeum,"42.702932,27.894173"
Ariste,"39.448726,28.835122"
Aristobathra,"33.916803,72.48637"
Aristonautai,"38.076814,22.635738"
Aristonis,"24.9276214984,34.2306869883"
Aritium,"39.4719185,-8.019101"
Aritium oppidum vetus,"39.4719185,-8.019101"
Aritium Praetorium,"39.3236155,-8.1674965"
Arius,"34.5,62.5"
Arkades,"35.080331,25.282439"
Arkadia,"35.080331,25.282439"
Arkadioupolis,"41.4017405,27.352699"
arkaion gymnasion (to),"37.9098210519,22.8771112182"
arkala,"38.33454,37.9711315"
Arkathiokerta,"38.2405025,40.0827385"
Arkesine,"36.7993565,25.8117355"
Arkesion Antron,"35.2082103,24.8289925"
Arkeuthos,"36.25,36.25"
Arkonnesos,"36.75,27.25"
Arkonnesos,"38.25,26.75"
Arktanes,"39.75,20.75"
Arktou Akra,"41.5,9.5"
Arlape,"48.212163,15.2104235"
Armósata,"38.6608665,39.5109175"
Armaktika,"41.833638,44.672277"
Armanas,"39.865663,42.438572"
Armaouira,"40.08224085,44.0333533"
Armascla,"36.75,8.75"
Armasela,"36.75,8.75"
Armaxa,"39.18618,36.0663835"
Armaza,"39.18618,36.0663835"
Armazistsikhe,"41.833638,44.672277"
Armene,"42.049231,35.041878"
Armenia,"39.5,40.5"
Armenia Maior,"40.5,43.5"
Armenia Minor,"39.25,38.25"
Armenion,"39.483449,22.639119"
Armisa,"48.5,9.5"
Armorica,"48.5,-3.5"
Armuzia,"27.161555,56.22236"
Arna,"43.127841,12.4860485"
Arnabanda,"36.32843,29.91431"
Arnai,"40.49636,23.589125"
Arnay,"38.292013,44.763869"
Arne,"38.48288,22.93328"
Arneai,"36.4301505,29.8608145"
Arnisa,"40.645815,21.700415"
Arnon,"31.25,35.75"
Arnum,"41.5,2.5"
Aroanios,"37.8787179,22.14591265"
Aroes,"31.47151,35.821922"
Arolos,"41.011737,23.326317"
Aroma,"37.912227,28.138317"
Aromata Emporion,"11.825923,50.948956"
Aromata Pr.,"12.5,52.5"
Arouadis,"32.5,72.5"
Arouaia M.,"12.5,77.5"
Arouakoi,"41.5,-3.5"
Arouarnoi,"12.5,77.5"
Arouioi,"47.5,-0.5"
Arous,"32.113228,35.143091"
Arpha,"32.8520335,36.1993395"
Arpi,"41.5534853,15.6112812"
Arpina,"41.648422,13.609876"
Arpinum,"41.648358,13.613727"
Arpinus,"41.648358,13.613727"
Arra,"32.75,36.75"
Arra,"38.61636,31.939387"
Arrabona,"47.5,17.5"
Arragan,"30.662826,50.309141"
Arrago,"41.555754,2.1152115"
Arragona,"41.555754,2.1152115"
Arrana,"32.88621,36.384688"
Arrapḫi,"35.4690995,44.3955"
Arrapḫum,"35.4701,44.3957"
Arrapachitis,"35.4690995,44.3955"
Arreni,"26.5,37.5"
Arreston Klima,"38.5,42.5"
Arretinoi,"43.471274,11.863048"
Arretion,"43.471274,11.863048"
Arretium,"43.471274,11.863048"
Arriaca,"40.650874,-3.196797"
Arrolos,"41.011737,23.326317"
Arroni,"43.5,-7.5"
Arrotrebae,"43.1983811815,-8.64870236949"
Arsa,"36.512531,-5.913705"
Arsace,"37.216696,58.49635"
Arsada,"36.5020725,29.410971"
Arsagalitae,"33.8639069882,73.3581782049"
Arsai,"24.5,37.5"
Arsakia,"35.594267,51.447163"
Arsamósata,"38.6608665,39.5109175"
Arsameia,"38.01043345,39.0348176"
Arsameia pros Nymphaio,"37.9460874,38.6535925"
Arsamosata,"38.6608665,39.5109175"
Arsamosata,"38.6608665,39.5109175"
Arsanias,"38.5,39.5"
Arse,"39.678125,-0.2772475"
Arsennaria,"36.334326,0.873111"
Arsesa,"39.5,43.5"
Arsi,"41.220893,-0.443911"
Arsinia,"38.266666,39.766666"
Arsinoïtēs,"29.3149635,30.8399565"
"Arsinoē, Arsinoe","29.3149635,30.8399565"
"Arsinoē, Arsinoe, Arsinoë","36.262409,29.314612"
"Arsinoē, Arsinoe, Arsinoë","37.9407625,27.340307"
Arsinoe,"12.711748,43.251399"
Arsinoe,"29.3149635,30.8399565"
Arsinoe,"29.3149635,30.8399565"
Arsinoe,"29.9701405,32.5601425"
Arsinoe,"32.5363475,20.567765"
Arsinoe,"34.739756,32.449913"
Arsinoe,"35.034889,32.421841"
Arsinoe,"35.118911,33.943765"
Arsinoe,"35.371092,24.472901"
Arsinoe,"36.094337,33.0358235"
Arsinoe,"36.262409,29.314612"
Arsinoe,"37.586689,23.349006"
Arsinoe,"37.658699,24.3111875"
Arsinoe,"38.568807,21.293116"
"Arsinoitēs, Arsinoites","29.3149635,30.8399565"
Arsinoitōn polis,"29.3149635,30.8399565"
"Arsinoitōn Polis, Arsinoiton Polis","29.3149635,30.8399565"
Arsinoites,"29.25,30.75"
Arsinos,"38.5,39.5"
Arsissa,"38.5,43.5"
Artabri,"43.1983811815,-8.64870236949"
Artabris Sinus,"43.5,-8.5"
Artabron Limen,"42.919018,-9.264682"
Artabrum,"43.5,-9.5"
Artacavan,"34.345833,62.188384"
Artace,"40.402952,27.796268"
Artagigarta,"38.2405025,40.0827385"
Artaiouteichos,"40.366649,28.478392"
"Artakē, Artake","40.402952,27.796268"
"Artakauana, Artakoana, Artikaudna","34.345833,62.188384"
Artakene,"35.5,43.5"
Artakoana,"34.345833,62.188384"
Artales,"39.312094,40.349658"
Artamis,"32.747327,21.627035"
Artamis,"35.5,67.5"
Artanada,"37.018085,32.718248"
Artanes,"41.17132,29.604165"
Artanes,"41.25,29.75"
Artapatou,"28.594064,30.684246"
Artaxáta,"39.8818755331,44.5751884575"
Artaxata,"39.8818755331,44.5751884575"
Artemidos Limen,"42.128329,9.550287"
Artemis,"40.2863525,30.593308"
"Artemis Anaeitis, Men Tiamou, T.","38.495984,28.563504"
"Artemis Diktynnaia, T.","38.415573,22.655531"
"Artemis Elaphebolia, T.","38.63903485,22.89300975"
"Artemis Hegemone, T.","38.58839,21.653071"
"Artemis Limnatis, T.","36.96028,22.253477"
"Artemis Limnatis, T.","37.546685,21.699566"
"Artemis Parthenos, T.","37.189532,26.803339"
"Artemis Tauropolos, T.","37.621567,26.059426"
"Artemis Thermia, T.","39.186197,26.492181"
"Artemis, T.","35.057081,33.791481"
"Artemis, T.","37.979325,24.007747"
Artemisia,"42.25,11.25"
Artemision,"37.388532,25.25009"
Artemision,"39.0140455,23.2213755"
Artemision,"41.72411005,12.7096763"
Artemision Pr.,"36.75,28.75"
Artemita,"33.88109,44.822085"
Artemita,"33.88109,44.822085"
Artemita,"38.25,21.25"
Artemita,"38.422069,43.276591"
Artemita Pr.,"38.25,21.25"
Artenia,"46.237304,13.153893"
Artennites,"36.5,0.75"
Arthona,"46.002611,3.140504"
Artiaca,"48.536498,4.141862"
Artigi,"38.722599,-5.545601"
Artiknos,"40.163888,32.189443"
Artobriga,"47.86997,12.645465"
Artos Akron,"31.5,27.5"
Artymnissos,"36.502931,29.129566"
Artynia L.,"40.25,28.75"
Artze,"39.9077576162,41.2768185703"
Arubium,"45.2462004,28.13208745"
Arucci,"37.963738,-7.13148"
Arulis,"37.110367,37.86555"
Arunda,"36.74194,-5.166408"
Arupium,"44.84851,15.268748"
Arusena,"48.85030595,11.77105085"
Arusnates,"45.75,10.75"
Arutela,"45.2836885,24.30017"
Arva,"37.6227775,-5.6064788"
Arverni,"45.75,3.75"
Arvernia,"45.75,3.75"
Arvernoi,"45.75,3.75"
Arx Fregellana,"41.58715,13.58542"
Arxama,"37.262483,40.639528"
Arxata,"39.375164,45.054693"
Arycandus,"36.25,30.25"
Arykanda,"36.5,30.0226"
Arykanda,"36.513517,30.059917"
Arymaxa,"36.639928,28.855993"
Arzamon,"36.5,40.5"
Arzamon,"37.262483,40.639528"
Arzanene,"38.5,41.5"
Arzosei,"33.5,9.5"
Arzrum,"39.9077576162,41.2768185703"
Arzuges,"33.5,10.5"
Arzugum Regio,"33.5,9.5"
Arzuhin,"35.5,44.5"
Arzuhin,"35.540986,44.5755995"
Arzus,"42.041834,25.883363"
Asa Paulini,"45.936105,4.718192"
Asaak,"37.216696,58.49635"
Asadi,"36.420272,10.45704"
Asamum,"42.70966,18.341542"
Asamus,"43.5,24.5"
Asamus,"43.632956,24.852159"
Asbamaion,"37.800047,34.63158"
Asbystai,"32.5,21.5"
Asbytai,"32.5,21.5"
Ascalon,"31.6659785,34.545947"
Ascania L.,"37.75,30.25"
Ascanius L.,"37.75,30.25"
Ascanius Portus,"38.745271,26.83198"
Ascatancas,"42.5,72.5"
Asciburgium,"51.4348895,6.664488"
Asclepeus,"33.75,35.25"
Ascua,"36.88614,-4.540804"
Asculum,"42.855397,13.574951"
Asdara,"38.240638,37.328382"
Asea,"37.404133,22.261978"
Aseni,"36.5,67.5"
Aser,"31.775393,34.746065"
Aser,"32.339109,35.396311"
Asfynis,"25.315559,32.510652"
Ashdod,"31.7608365,34.65407"
Ashqelon,"31.6659785,34.545947"
Ashtishat,"38.94339,41.433799"
Ashur,"35.4553463236,43.2615025751"
Asia,"38.25,27.25"
Asiana,"38.6411075,34.252162"
Śibipura,"30.754527,72.271549"
Asicha,"33.061161,36.075679"
Asido,"36.467791,-5.927867"
Asido Caesarina,"36.467791,-5.927867"
Asigramma,"34.028693,72.602753"
Asinaia,"37.5358925,22.868915"
Asine,"36.75,22.75"
Asine,"36.792813,21.962964"
Asine,"37.5358925,22.868915"
Asinius,"37.75,15.25"
Asinkon,"42.252111,9.166371"
Asioi,"42.5,67.5"
Asisium,"43.0706185,12.618957"
Aska,"16.558214,44.651994"
"Askalon, Askalōn","31.6659785,34.545947"
Askania,"40.25,29.75"
Askania L.,"40.25,29.25"
Askanios,"40.25,29.25"
Askar Mukram,"31.657498,48.880963"
Askerris,"42.284446,0.359738"
Askitai,"17.5,57.5"
Asklepieion,"37.97085785,23.7263419"
Asklepieion,"39.1105455,27.171081"
"Asklepieion, Thesmophorion, Apollo, T.","37.077965,25.140825"
Asklepieis,"37.75,26.25"
"Asklepios, T.","38.391877,21.843744"
Askra,"38.328222,23.075384"
Askyris,"40.000137,22.347179"
Asmagi,"32.5,72.5"
Asochis,"32.787128,35.266142"
Asophon,"32.239695,35.627481"
Asopos,"36.6845,22.8426"
Asopos,"37.75,29.25"
Aspadana,"32.651067,51.678813"
Aspadana,"32.651067,51.678813"
Aspagani,"37.5,67.5"
Aspalluga,"42.97454,-0.599317"
Aspanbor,"33.100272,44.583487"
Aspaneus,"39.570655,26.807167"
Aspasioi,"32.5,72.5"
Aspendos,"36.939091,31.1703682"
Aspenzinsos,"37.998563,34.453369"
Aspis,"31.5,15.5"
Aspis,"36.838512,11.115794"
Aspis,"38.25,26.75"
Aspis,"38.5,-0.5"
Aspledon,"38.540995,22.992716"
Aspona,"39.302241,33.307757"
Aspourgianoi,"45.25,36.75"
Aspourgianoi,"45.25,36.75"
Śrāvastī,"27.722423,81.682871"
Assa,"40.369294,23.830518"
Assakanoi,"32.5,72.5"
Assakia,"32.5,72.5"
Assaria,"32.790469,12.861553"
Assegonia,"42.880359,-8.546374"
Assera,"40.369294,23.830518"
Asseria,"44.0176335,15.680565"
Asseros,"40.81222,23.009519"
Assia,"37.25,15.25"
Assinaros,"36.75,15.25"
Assios,"39.75,26.25"
Asso,"38.021113,-1.898076"
Assoi,"32.5,72.5"
Assorus,"37.628434,14.423874"
Assos,"39.25,20.75"
"Assos, Ássos","39.491111,26.3383585"
Assuras,"35.9958835,9.009694"
Assyria,"37.5,37.5"
Assyria,"41.5,34.5"
Asta,"36.788002,-6.172572"
Astaboras,"17.5,34.5"
Astaca,"37.216696,58.49635"
Astakana,"36.8411565,69.6842205"
Astakanpra,"21.608478,72.268473"
Astakapra,"21.608478,72.268473"
Astakenoi,"37.5,67.5"
Astakos,"38.547154,21.087253"
Astakos,"40.25,29.25"
Astakos,"40.714558,29.928794"
Astakoures,"32.5,10.5"
Astale,"35.412366,24.781191"
Astarabad Ardashir,"30.8093425,47.562804"
Astaroth,"32.837408,36.029358"
"Astarte, T.","34.987813,33.191067"
Astatia,"36.8411565,69.6842205"
Astaunitis,"38.5,40.5"
Asteeis,"38.25,27.25"
Astelephos,"42.5,41.5"
Asteles,"38.75,29.25"
Asteria,"36.25,33.75"
Asteria,"38.25,20.75"
Asterion,"39.498523,22.152114"
Asthagoura,"25.020732,83.021033"
Asthala,"27.5,62.5"
Asthianene,"38.5,40.5"
Astiagi,"31.226337,16.278323"
Astibos,"41.7306895,22.193445"
Asticus,"41.75,27.75"
Astigi,"37.540932,-5.079949"
Astike,"41.25,28.25"
Astomi,"32.5,82.5"
Astora,"36.9038465,6.878282"
Astra,"37.023637,32.422507"
Astragon,"37.381718,28.217488"
Astraia,"41.604051,22.469026"
Astramitis,"17.5,47.5"
Astrikes,"32.5,10.5"
Astrochonda,"30.7000485,19.944539"
Astron,"37.418953,22.763719"
Astrybai,"32.5,72.5"
Astura,"41.408855,12.765272"
Astures Augustani,"42.5,-6.5"
Astures Transmontani,"43.5,-6.5"
Asturia,"43.5,-6.5"
Asturica,"42.458776,-6.063532"
Asturica Augusta,"42.458776,-6.063532"
Asturis,"48.343568,15.9121"
Asty,"38.125,23.625"
Astygis,"37.540932,-5.079949"
Astypalaia,"36.547366,26.35142"
Astypalaia,"36.7464035,26.958493"
Astypalaia Pr.,"37.25,27.25"
Astyra,"39.163484,26.906742"
Astyra,"39.560183,27.178235"
Astyra,"40.043192,26.682841"
Śuńgas,"22.5,77.5"
Asuccuris,"36.608739,7.518478"
Atḗnē,"37.6753465,23.966418"
Atacini,"42.5,2.5"
Atalante,"40.734818,22.598961"
Atarbechis,"30.713606,30.828784"
Atarneus,"38.928313,26.85959"
Atarneus,"39.093987,26.927974"
Atarneus sub Pitanem,"38.928313,26.85959"
Ategoua,"37.7529048,-4.5729074"
Ategua,"37.7529048,-4.5729074"
Atella,"40.964613,14.26311"
Ater,"30.5,11.5"
Atera,"33.74192635,36.58421935"
Atera,"34.422928,37.173068"
Aternon,"42.4648345,14.214037"
Aternum,"42.4648345,14.214037"
Ateste,"45.227738,11.656616"
Atetta,"38.535161,28.491469"
Athagorae,"42.5,67.5"
Athamania,"39.2909008795,21.522090115"
Athela,"32.760967,36.58284"
"Athena Itonia, T.","38.399986,22.998754"
"Athena Poliouchos, T.","37.120824,25.440101"
"Athena, T.","34.983613,32.89886"
"Athena, T.","35.30699,26.312224"
"Athena, T.","38.787274,22.371895"
"Athena, Zeus, T.","36.25,25.25"
Athenae,"12.771651,45.038928"
Athenai,"41.172312,40.874223"
Athenai Diades,"38.842285,22.982897"
Athenaion,"37.25,22.25"
Athenaion,"37.277285,22.258894"
Athenaion,"37.98590025,13.69507845"
Athenaion,"40.008159,18.426574"
Athenaion,"44.5,34.5"
Athene,"37.450394,22.669501"
Athenon Akron,"41.5,40.5"
Athenopolis,"43.270134,6.640921"
Athis,"35.976326,38.198554"
Athlula,"15.995719,44.792983"
Athribis,"24.459787,39.621407"
Athribis,"26.513615,31.6636135"
Athribis,"30.4707015,31.18425"
Athribis,"30.4707015,31.18425"
Athrida,"16.0186886,44.8045596"
Athritai,"27.5,38.5"
Athrotradus,"26.5,50.5"
Athroula,"16.0186886,44.8045596"
